sale_id,order_id,sale_date,amount,region,channel
S2001,O1001,2023-01-07,1598.00,West,Online
S2002,O1002,2023-01-10,599.00,South,Online
S2003,O1003,2023-01-14,5999.00,North,In-Store
S2004,O1004,2023-01-17,2997.00,South,Online
S2005,O1005,2023-01-22,1499.00,West,Online
S2006,O1006,2023-01-27,4998.00,South,In-Store
S2007,O1007,2023-02-04,3999.00,East,Online
S2008,O1008,2023-02-08,3198.00,West,In-Store
S2009,O1009,2023-02-13,1299.00,North,Online
S2010,O1010,2023-02-16,2999.00,South,Online
S2011,O1011,2023-02-21,3299.00,North,In-Store
S2012,O1012,2023-02-25,1199.00,South,Online
S2013,O1013,2023-03-03,1996.00,West,Online
S2014,O1014,2023-03-07,898.00,South,In-Store
S2015,O1015,2023-03-11,1099.00,North,Online
S2016,O1016,2023-03-16,999.00,East,Online
S2017,O1017,2023-03-20,1899.00,North,In-Store
S2018,O1018,2023-03-24,1198.00,North,Online
S2019,O1019,2023-03-29,1047.00,West,Online
S2020,O1020,2023-04-01,899.00,West,In-Store
