order_id,customer_id,product_id,order_date,quantity,order_status
O1001,C001,P001,2023-01-05,2,Delivered
O1002,C002,P003,2023-01-08,1,Delivered
O1003,C003,P009,2023-01-12,1,Delivered
O1004,C004,P006,2023-01-15,3,Delivered
O1005,C005,P012,2023-01-20,1,Cancelled
O1006,C006,P002,2023-01-25,2,Delivered
O1007,C007,P018,2023-02-02,1,Delivered
O1008,C008,P010,2023-02-06,2,Delivered
O1009,C009,P007,2023-02-11,1,Returned
O1010,C010,P015,2023-02-14,1,Delivered
O1011,C011,P004,2023-02-19,1,Delivered
O1012,C012,P011,2023-02-23,1,Delivered
O1013,C013,P020,2023-03-01,4,Delivered
O1014,C014,P005,2023-03-05,2,Delivered
O1015,C015,P014,2023-03-09,1,Delivered
O1016,C016,P017,2023-03-14,1,Delivered
O1017,C017,P008,2023-03-18,1,Cancelled
O1018,C018,P019,2023-03-22,2,Delivered
O1019,C019,P013,2023-03-27,3,Delivered
O1020,C020,P016,2023-03-30,1,Delivered
